,ID,Area,ZDiscs,Centroid,Azi_[RAD],Ele_[RAD]
0,1457,9561,4,"[2116.2290555381237, 2233.373182721473, 78.45790189310742]",0.25986265066321645,0.07474579651748119
1,1478,66428,25,"[2149.827602818089, 2261.0677425182153, 103.30247787077738]",0.09518028542969686,-0.05685462232718433
2,1481,37221,14,"[2129.5128287794523, 2677.8182208968055, 125.68834797560517]",0.36255665248935026,0.11147130516543707
3,1503,41629,16,"[2161.877441206851, 2757.2744961445146, 111.37963919383122]",0.07165734326778223,0.18983201183211737
4,1510,11032,5,"[2144.500815808557, 2781.736131254532, 78.02945975344453]",-0.08541894727305423,0.2590373683218249
5,1541,22110,9,"[2209.841293532338, 2397.2209407507917, 77.89828132066938]",0.07057368994262356,-0.0378661081535984
6,1559,33648,13,"[2327.280016642891, 2126.047818592487, 91.72381716595339]",0.0371329587133044,0.26666830289492743
7,1565,27055,10,"[2246.2005913879134, 2460.8459434485308, 102.65433376455368]",-0.040003563516319826,0.31695223892048463
8,1590,81364,30,"[2316.4806302541665, 2554.9829777297086, 104.76170050636645]",0.04415718557577095,-0.14762335617036546
9,1601,7097,3,"[2352.7501761307594, 2644.2922361561223, 72.00563618430323]",-0.020245865760742127,1e-10
10,1651,57542,21,"[2408.7984254978974, 2750.219978450523, 109.52577247923256]",0.08145956241193816,-0.016688728451456067
11,1654,91944,34,"[2439.808328982859, 2339.5666601409553, 88.88125380666493]",0.09376828786497787,-0.08238911881528607
12,1665,2877,2,"[2413.5804657629474, 2764.7653806047965, 138.16614529023286]",0.1985567844862267,1e-10
13,1670,12297,5,"[2424.2371310075628, 2202.335610311458, 135.07196877287143]",0.05241176485068981,0.012745793787814002
14,1721,60737,23,"[2551.416747616774, 2592.51301513081, 104.85580453430364]",0.0076048207925084425,-0.08461264243267332
15,1736,3157,2,"[2531.0861577446944, 2552.9727589483687, 71.87836553690212]",-0.12263738708963119,-1e-10
16,1750,20836,8,"[2585.6404780188136, 2167.1396141293912, 76.03062008062967]",0.07987451609706712,-1e-10
17,1754,29733,11,"[2595.4475162277604, 2642.0751353714727, 133.6940100225339]",0.05292052590696789,0.006507197000066339
18,1793,62243,23,"[2648.4064714104397, 2401.7805215044264, 98.26512218241409]",-0.01770817909439854,-0.08610682662891195
19,1821,67396,25,"[2724.386966585554, 2479.6322036916135, 125.35349278888955]",0.04196508210546414,0.030262797078640907
20,1842,12379,5,"[2723.1708538654175, 2127.8626706519103, 134.3702237660554]",-0.004648433418067366,0.06868163964657018
21,1843,63519,24,"[2735.762354571073, 2206.62825296368, 91.39986460744029]",0.07923383931556524,-0.06564823833696876
22,1872,17073,7,"[2770.1737245943887, 2251.3585192994788, 111.66221519358051]",0.0566730823467903,-0.16378807695134176
23,1896,3430,2,"[2785.87638483965, 2239.9448979591834, 135.2924198250729]",-0.044495926400513405,-0.033954364714575386
